Point ID,arc_length,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
0,0.000000,-0.000005,0.050000,0.000000,0.005000,0.050249,0.000000,0.000000,0.000000,0.000000,1
1,0.000020,-0.000005,0.050000,0.000020,0.005000,0.050249,0.000030,0.000000,-0.000000,0.000030,1
2,0.000040,-0.000005,0.050000,0.000040,0.005000,0.050249,0.000060,0.000000,-0.000000,0.000060,1
3,0.000060,-0.000005,0.050000,0.000060,0.005000,0.050249,0.000089,0.000000,-0.000000,0.000089,1
4,0.000080,-0.000005,0.050000,0.000080,0.005000,0.050249,0.000119,0.000000,-0.000000,0.000119,1
5,0.000100,-0.000005,0.050000,0.000100,0.005000,0.050249,0.000149,0.000000,-0.000000,0.000149,1
6,0.000120,-0.000005,0.050000,0.000120,0.005000,0.050250,0.000179,0.000000,-0.000000,0.000179,1
7,0.000140,-0.000005,0.050000,0.000140,0.005000,0.050250,0.000207,0.000000,-0.000000,0.000207,1
8,0.000160,-0.000005,0.050000,0.000160,0.005000,0.050250,0.000236,0.000000,-0.000000,0.000236,1
9,0.000180,-0.000005,0.050000,0.000180,0.005000,0.050250,0.000265,0.000000,-0.000000,0.000265,1
10,0.000200,-0.000005,0.050000,0.000200,0.005000,0.050250,0.000293,0.000000,-0.000000,0.000293,1
11,0.000220,-0.000005,0.050000,0.000220,0.005000,0.050250,0.000322,0.000001,-0.000000,0.000322,1
12,0.000240,-0.000005,0.050000,0.000240,0.005000,0.050250,0.000350,0.000001,-0.000000,0.000350,1
13,0.000260,-0.000005,0.050000,0.000260,0.005000,0.050250,0.000379,0.000001,-0.000000,0.000379,1
14,0.000280,-0.000005,0.050000,0.000280,0.005000,0.050250,0.000407,0.000001,-0.000000,0.000407,1
15,0.000300,-0.000005,0.050000,0.000300,0.005000,0.050250,0.000435,0.000001,-0.000000,0.000435,1
16,0.000320,-0.000005,0.050000,0.000320,0.005000,0.050250,0.000463,0.000001,-0.000000,0.000463,1
17,0.000340,-0.000005,0.050000,0.000340,0.005000,0.050251,0.000491,0.000001,-0.000000,0.000491,1
18,0.000360,-0.000005,0.050000,0.000360,0.005000,0.050251,0.000520,0.000001,-0.000000,0.000520,1
19,0.000380,-0.000005,0.050000,0.000380,0.005000,0.050251,0.000548,0.000001,-0.000000,0.000548,1
20,0.000400,-0.000005,0.050000,0.000400,0.005000,0.050251,0.000576,0.000002,-0.000000,0.000576,1
21,0.000420,-0.000005,0.050000,0.000420,0.005000,0.050251,0.000604,0.000002,0.000000,0.000604,1
22,0.000440,-0.000005,0.050000,0.000440,0.005000,0.050251,0.000632,0.000002,-0.000000,0.000632,1
23,0.000460,-0.000005,0.050000,0.000460,0.005000,0.050251,0.000659,0.000002,-0.000000,0.000659,1
24,0.000480,-0.000005,0.050000,0.000480,0.005000,0.050252,0.000687,0.000002,-0.000000,0.000687,1
25,0.000500,-0.000005,0.050000,0.000500,0.005000,0.050252,0.000715,0.000003,-0.000000,0.000715,1
26,0.000520,-0.000005,0.050000,0.000520,0.005000,0.050252,0.000742,0.000003,-0.000000,0.000742,1
